Gate Entry No,Truck No,Invoice No,In Date,In Time,Out Date,Out Time,Total,MGP-MGN,MGN-WBT,WBT-DOC,DOC-LDG/UNLDG,LDG/UNLDG-WBG,WBG-INV,INV-MGX,User
00000000006100008483,MH04GR4204,9512100206,01-06-18,0:30,01-06-18,17:58,17:28,:01,:22,:42,13:07,3:13,4:13,2:09,SECOPR1
00000000006100008685,GJ06ZZ2991,9911112867,01-06-18,0:36,01-06-18,17:43,17:06,:01,:24,:39,12:18,2:24,2:31,3:35,SECOPR1
00000000006100008475,UP78CT9018,9511100242,01-06-18,1:20,02-06-18,0:23,23:03,:01,:10,:07,19:08,9:13,9:22,3:21,SECOPR1
00000000000200002422,GJ12X2470,9524102119,01-06-18,5:59,01-06-18,13:24,7:25,:01,1:08,1:35,3:03,,,:46,SECOPR1
00000000000200002420,GJ12X1146,9524102120,01-06-18,6:01,01-06-18,13:41,7:40,:01,1:13,1:34,2:46,,,:36,SECOPR1
00000000000200002421,GJ12X2867,9524102121,01-06-18,6:03,01-06-18,13:44,7:41,:01,1:23,1:33,2:39,,,:35,SECOPR1
00000000006100008909,GJ18AZ8289,9313700236,01-06-18,8:40,02-06-18,7:39,22:58,:01,:29,:15,8:51,4:16,4:52,12:45,SECOPR1
00000000006100008704,GJ18AU8947,9913108155,01-06-18,8:59,02-06-18,6:58,21:59,:01,:16,:05,6:35,1:57,2:04,14:53,SECOPR1
00000000000200002301,GJ12AZ7662,9523101492,01-06-18,9:01,01-06-18,14:44,5:42,:01,:07,:23,3:18,,,:43,SECOPR1
00000000006100008485,GJ16AU2062,9911112878,01-06-18,9:13,01-06-18,18:06,8:53,:01,:18,:08,7:02,2:42,2:54,1:10,SECOPR1
00000000000200002448,GJ15AT1361,9523101491,01-06-18,9:35,01-06-18,15:15,5:40,:01,:08,:09,3:26,,,1:20,SECOPR1
00000000006100008774,UP78DN0981,9912108298,01-06-18,9:40,02-06-18,0:16,14:35,:01,:07,:30,10:40,6:54,7:04,3:06,SECOPR1
00000000006100008719,GJ16AU3444,9912108292,01-06-18,9:47,01-06-18,20:19,10:32,:01,:10,:06,8:30,,:31,1:13,SECOPR1
00000000006100008930,HR67B2082,9313700235,01-06-18,10:02,01-06-18,20:14,10:12,:01,:12,:09,7:33,3:54,4:28,1:40,SECOPR1
00000000006100008482,MH04GR9838,9513100246,01-06-18,10:03,01-06-18,17:35,7:31,:01,:06,:05,5:57,2:09,2:17,1:13,SECOPR1
00000000006100008829,HR46E7926,9912108294,01-06-18,10:07,01-06-18,21:57,11:50,:01,1:09,:23,8:18,5:42,6:09,1:32,SECOPR1
00000000006100008491,HR69B0038,9912108288,01-06-18,10:19,01-06-18,20:01,9:42,:01,:31,:14,6:43,3:43,4:03,1:51,SECOPR1
00000000000300001412,GJ06AT2281,9921102373,01-06-18,10:21,01-06-18,16:37,6:15,:01,:09,:20,3:49,,,1:10,SECOPR1
00000000000300001411,GJ06AV6123,9921102375,01-06-18,10:25,01-06-18,17:33,7:08,:01,:11,:28,4:05,,,1:07,SECOPR1
00000000006100008151,HR67B9976,9913108166,01-06-18,10:36,01-06-18,22:53,12:17,:01,:44,:23,9:03,6:30,6:53,1:42,SECOPR1
00000000000200002279,GJ12BT2824,9524102123,01-06-18,10:45,01-06-18,15:58,5:12,:01,:07,:24,1:54,,,1:43,SECOPR1
00000000006100008206,RJ32GB4670,9912108296,01-06-18,10:56,01-06-18,21:39,10:43,:01,:09,:05,9:31,6:31,6:46,:40,SECOPR1
00000000006100008681,GJ10TV7785,9911112882,01-06-18,0:12,01-06-18,19:29,19:16,:01,:35,8:17,8:39,3:52,4:05,1:23,SECOPR1
00000000006100008921,GJ10TX8586,9911112875,01-06-18,0:20,01-06-18,18:27,18:07,:01,:20,:51,14:32,4:36,4:48,2:04,SECOPR1
00000000006100008113,RJ14GH2037,9911112874,01-06-18,0:27,01-06-18,17:50,17:23,:01,:15,7:41,7:43,4:28,4:43,1:26,SECOPR1
00000000006100008740,TN52F9931,9913108158,01-06-18,0:28,01-06-18,18:03,17:34,:01,:22,7:23,8:33,4:58,5:09,1:02,SECOPR1
00000000006100008637,MH04GF3497,9912108285,01-06-18,0:56,01-06-18,18:02,17:05,:01,:15,:28,12:52,2:57,3:04,3:18,SECOPR1
00000000000200002423,GJ12X1964,9524102117,01-06-18,6:05,01-06-18,13:07,7:02,:01,1:18,1:31,2:29,,,:47,SECOPR1
00000000006100008722,MH04EB5329,9911112872,01-06-18,8:15,01-06-18,16:56,8:40,:01,:07,:12,6:45,3:42,4:16,1:00,SECOPR1
00000000000200002417,GJ16Z9839,9524102118,01-06-18,8:17,01-06-18,13:28,5:10,:01,:43,:16,2:37,,,:58,SECOPR1
00000000006100008548,GJ18AZ4581,9912108290,01-06-18,9:04,02-06-18,16:00,30:56,:01,:22,:14,8:41,4:21,4:59,20:58,SECOPR1
00000000006100008403,TN34R6374,9912108289,01-06-18,9:32,01-06-18,21:54,12:22,:01,:10,:07,8:22,4:11,4:49,3:02,SECOPR1
00000000000200002144,GJ12Z9774,9523101493,01-06-18,10:16,01-06-18,15:17,5:01,:01,:08,:44,2:28,,,1:06,SECOPR1
00000000006100008710,UP78DT1474,9513100247,01-06-18,10:29,02-06-18,0:19,13:50,:01,:11,:07,10:15,6:58,7:31,2:41,SECOPR1
00000000006100008756,HR69B7678,9913108162,01-06-18,10:54,01-06-18,22:59,12:05,:01,:15,:13,7:53,5:04,5:22,3:23,SECOPR1
00000000006100008581,RJ14GJ3589,9913108161,01-06-18,11:01,01-06-18,20:45,9:43,:01,:10,:20,7:29,4:48,5:12,1:18,SECOPR1
00000000000200002280,GJ12BV6753,9524102122,01-06-18,11:03,01-06-18,16:02,4:58,:01,:06,:13,1:43,,,1:54,SECOPR1
